wave,availability,note
1968,none,Wave conducted; no volume or series published on ins.tn.
1975,none,Wave conducted; no volume or series published on ins.tn.
1980,none,Wave conducted; no volume or series published on ins.tn.
1985,partial,"National mean per-capita expenditure only, from a chart in the 2005 volume."
1990,aggregate,"Per-capita expenditure by milieu and region, and budget shares, from the 2005 volume."
1995,aggregate,"As 1990, plus pre-2011-methodology poverty rate."
2000,aggregate,As 1995.
2005,aggregate,2005 volume tables plus the revised-methodology series in the 2021 note.
2010,aggregate,Budget structure and poverty series in the 2021 note; volumes 1-3 as PDF.
2015,aggregate,"Expenditure, poverty and Gini series in the 2021 note; volumes 1-3 as PDF."
2019,modelled,"Poverty rate only, imputed from the 2018-19 follow-up panel."
2021,microdata,Seven Stata files plus aggregate annexes and volumes A and C.
